Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Ogasawara, Ibuki",JR-3,13.38m,"43' 10.75""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,13.14m,"43' 1.5""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,12.87m,"42' 2.75""",2017 Dick Young Invitational,"Apr 22, 2017",1.4
,"Ogasawara, Ibuki",JR-3,12.76m,"41' 10.5""",2017 Dick Young Invitational,"Apr 22, 2017",1.8
,"Ogasawara, Ibuki",JR-3,12.71m,"41' 8.5""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,12.70m,"41' 8""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,12.54m,"41' 1.75""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,12.47m,"40' 11""",Midwest Conference Outdoor Championship,"May 12, 2017",0.0
,"Ogasawara, Ibuki",JR-3,12.32m,"40' 5""",2017 Dick Young Invitational,"Apr 22, 2017",1.0
,"Ogasawara, Ibuki",JR-3,12.29m,"40' 4""",2017 Dick Young Invitational,"Apr 22, 2017",1.2
