Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Lennon, John",SO-2,15:29.15,2017 Kip Janvrin Open,"Apr 27, 2017"
,"McLean, Anthony",SR-4,15:31.37,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Krewson, Daniel",SO-2,15:41.96,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Lennon, John",SO-2,15:48.40,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Krewson, Daniel",SO-2,15:51.66,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Krewson, Daniel",SO-2,16:31.46,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Phipps, Matthew",FR-1,16:35.15,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Osler, John",FR-1,16:35.41,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Osler, John",FR-1,16:36.69,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Hansen, Pieter",SO-2,16:40.60,2017 Dick Young Invitational,"Apr 22, 2017"
,"Gregorich-Trevor, Connor",JR-3,16:50.14,2017 Cornell Invite,"Apr 8, 2017"
,"Lennon, John",SO-2,16:50.30,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Osler, John",FR-1,17:00.00,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Healey, Aidan",JR-3,17:13.56,2017 Cornell Invite,"Apr 8, 2017"
,"Sokolsky, Sam",SR-4,17:27.16,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Healey, Aidan",JR-3,17:31.37,Midwest Conference Outdoor Championship,"May 12, 2017"
,"Healey, Aidan",JR-3,17:36.11,2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Mulligan, Connor",SR-4,18:08.32,2017 Kip Janvrin Open,"Apr 27, 2017"
,"Grant, Reilly",JR-3,18:31.97,2017 Cornell Invite,"Apr 8, 2017"
,"Mulligan, Connor",SR-4,19:26.79,2017 Cornell Invite,"Apr 8, 2017"
