Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Henderson, Erik",SO-2,1.75m,"5' 8.75""",2017 Cornell Invite,"Apr 8, 2017"
,"Huelskamp, Ethan",FR-1,1.75m,"5' 8.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Henderson, Erik",SO-2,1.75m,"5' 8.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Henderson, Erik",SO-2,1.70m,"5' 7""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Henderson, Erik",SO-2,1.70m,"5' 7""",2017 Cornell Invite,"Apr 8, 2017"
,"Huelskamp, Ethan",FR-1,1.70m,"5' 7""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Huelskamp, Ethan",FR-1,1.67m,"5' 5.75""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Henderson, Erik",SO-2,1.65m,"5' 5""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Henderson, Erik",SO-2,1.65m,"5' 5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Huelskamp, Ethan",FR-1,1.65m,"5' 5""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Huelskamp, Ethan",FR-1,1.65m,"5' 5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Huelskamp, Ethan",FR-1,1.60m,"5' 3""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Henderson, Erik",SO-2,1.60m,"5' 3""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Huelskamp, Ethan",FR-1,1.60m,"5' 3""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Huelskamp, Ethan",FR-1,1.55m,"5' 1""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Huelskamp, Ethan",FR-1,1.50m,"4' 11""",2017 Dick Young Invitational,"Apr 22, 2017"
