Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2004,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2005,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2006,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2007,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2008,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2009,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2010,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2011,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2012,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2013,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2014,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2015,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2016,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2017,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2018,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2019,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2020,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2021,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
2022,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,0,0,
