Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Revenue,Archery Women's Team Revenue,Archery Coed Team Revenue,Archery Total Revenue,Badminton Men's Team Revenue,Badminton Women's Team Revenue,Badminton Coed Team Revenue,Badminton Total Revenue,Baseball Men's Team Revenue,Baseball Women's Team Revenue,Baseball Coed Team Revenue,Baseball Total Revenue,Basketball Men's Team Revenue,Basketball Women's Team Revenue,Basketball Coed Team Revenue,Basketball Total Revenue,Beach Volleyball Men's Team Revenue,Beach Volleyball Women's Team Revenue,Beach Volleyball Coed Team Revenue Revenue,Beach Volleyball Total Revenue,Bowling Men's Team Revenue,Bowling Women's Team Revenue,Bowling Coed Team Revenue,Bowling Total Revenue,All Track Combined Men's Team Revenue,All Track Combined Women's Team Revenue,All Track Combined Coed Team Revenue,All Track Combined Total Revenue,Diving Men's Team Revenue,Diving Women's Team Revenue,Diving Coed Team Revenue,Diving Total Revenue,Equestrian Men's Team Revenue,Equestrian Women's Team Revenue,Equestrian Coed Team Revenue,Equestrian Total Revenue,Fencing Men's Team Revenue,Fencing Women's Team Revenue,Fencing Coed Team Revenue,Fencing Total Revenue,Field Hockey Men's Team Revenue,Field Hockey Women's Team Revenue,Field Hockey Coed Team Revenue,Field Hockey Total Revenue,Football Men's Team Revenue,Football Women's Team Revenue,Football Coed Team Revenue,Football Total Revenue,Golf Men's Team Revenue,Golf Women's Team Revenue,Golf Coed Team Revenue,Golf Total Revenue,Gymnastics Men's Team Revenue,Gymnastics Women's Team Revenue,Gymnastics Coed Team Revenue,Gymnastics Total Revenue,Ice Hockey Men's Team Revenue,Ice Hockey Women's Team Revenue,Ice Hockey Coed Team Revenue,Ice Hockey Total Revenue,Lacrosse Men's Team Revenue,Lacrosse Women's Team Revenue,Lacrosse Coed Team Revenue,Lacrosse Total Revenue,Rifle Men's Team Revenue,Rifle Women's Team Revenue,Rifle Coed Team Revenue,Rifle Total Revenue,Rodeo Men's Team Revenue,Rodeo Women's Team Revenue,Rodeo Coed Team Revenue,Rodeo Total Revenue,Rowing Men's Team Revenue,Rowing Women's Team Revenue,Rowing Coed Team Revenue,Rowing Total Revenue,Sailing Men's Team Revenue,Sailing Women's Team Revenue,Sailing Coed Team Revenue,Sailing Total Revenue,Skiing Men's Team Revenue,Skiing Women's Team Revenue,Skiing Coed Team Revenue,Skiing Total Revenue,Soccer Men's Team Revenue,Soccer Women's Team Revenue,Soccer Coed Team Revenue,Soccer Total Revenue,Softball Men's Team Revenue,Softball Women's Team Revenue,Softball Coed Team Revenue,Softball Total Revenue,Squash Men's Team Revenue,Squash Women's Team Revenue,Squash Coed Team Revenue,Squash Total Revenue,Swimming and Diving Men's Team Revenue,Swimming and Diving Women's Team Revenue,Swimming and Diving Coed Team Revenue,Swimming and Diving Total Revenue,Swimming Men's Team Revenue,Swimming Women's Team Revenue,Swimming Coed Team Revenue,Swimming Total Revenue,Synchronized Swimming Men's Team Revenue,Synchronized Swimming Women's Team Revenue,Synchronized Swimming Coed Team Revenue,Synchronized Swimming Total Revenue,Table Tennis Men's Team Revenue,Table Tennis Women's Team Revenue,Table Tennis Coed Team Revenue,Table Tennis Total Revenue,Team Handball Men's Team Revenue,Team Handball Women's Team Revenue,Team Handball Coed Team Revenue,Team Handball Total Revenue,Tennis Men's Team Revenue,Tennis Women's Team Revenue,Tennis Coed Team Revenue,Tennis Total Revenue,Track and Field Indoor Men's Team Revenue,Track and Field Indoor Women's Team Revenue,Track and Field Indoor Coed Team Revenue,Track and Field Indoor Total Revenue,Track and Field Outdoor Men's Team Revenue,Track and Field Outdoor Women's Team Revenue,Track and Field Outdoor Coed Team Revenue,Track and Field Outdoor Total Revenue,Track and Field X Country Men's Team Revenue,Track and Field X Country Women's Team Revenue,Track and Field X Country Coed Team Revenue,Track and Field X Country Total Revenue,Volleyball Men's Team Revenue,Volleyball Women's Team Revenue,Volleyball Coed Team Revenue,Volleyball Total Revenue,Water Polo Men's Team Revenue,Water Polo Women's Team Revenue,Water Polo Coed Team Revenue,Water Polo Total Revenue,Weight Lifting Men's Team Revenue,Weight Lifting Women's Team Revenue,Weight Lifting Coed Team Revenue,Weight Lifting Total Revenue,Wrestling Men's Team Revenue,Wrestling Women's Team Revenue,Wrestling Coed Team Revenue,Wrestling Total Revenue,Other Sports Men's Team Revenue,Other Sports Women's Team Revenue,Other Sports Coed Team Revenue,Other Sports Total Revenue,Total Men's Team Revenue,Total Women's Team Revenue,Total Coed Team Revenue,Not Allocated by Gender/Sport Revenue,Grand Total Revenue
2003,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,472,506,978,,,,,,,,,41554,,,41554,33871,37693,,71564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60021,,,60021,4674,4674,,9348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18500,18500,,37000,,24952,,24952,,,,,,,,,5250,5250,,10500,,,,,,,,,,,,,7518,7518,,15036,6625,6625,,13250,6625,6625,,13250,6500,6500,,13000,,19920,,19920,,,,,,,,,,,,,,,,,191138,138257,,0,329395
2004,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,429,476,905,,,,,,,,,46487,,,46487,34576,43531,,78107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67196,,,67196,4999,3689,,8688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15523,13385,,28908,,32645,,32645,,,,,,,,,998,6989,,7987,,,,,,,,,,,,,9986,4794,,14780,6022,6022,,12044,6022,6725,,12747,10130,9549,,19679,,26926,,26926,,,,,,,,,,,,,,,,,201939,154255,,13156,369350
2005,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,477,476,953,,,,,,,,,43269,,,43269,37569,38962,,76531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60520,,,60520,4583,3359,,7942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23078,13774,,36852,,30754,,30754,,,,,,,,,12698,12698,,25396,,,,,,,,,,,,,9825,7518,,17343,8765,8765,,17530,8765,8765,,17530,8728,8728,,17456,,23493,,23493,,,,,,,,,,,,,,,,,217800,156816,,350240,724856
2006,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,452,529,981,,,,,,,,,42637,,,42637,32314,32314,,64628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64158,,,64158,4674,4674,,9348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18500,18500,,37000,,24952,,24952,,,,,,,,,5525,5525,,11050,,,,,,,,,,,,,7518,7518,,15036,6980,6980,,13960,7903,7903,,15806,7025,7025,,14050,,19520,,19520,,,,,,,,,,,,,,,,,197234,134911,,308492,640637
2007,239628,00388400,Ripon College,WI,NAIA Division III,,2,NAIA,464,507,971,,,,,,,,,69459,,,69459,92802,86118,,178920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131054,,,131054,11482,10981,,22463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27990,29179,,57169,,68234,,68234,,,,,,,,,23346,23346,,46692,,,,,,,,,,,,,10946,22551,,33497,16243,16243,,32486,16243,16243,,32486,12466,12466,,24932,,55030,,55030,,,,,,,,,,,,,,,,,412031,340391,,142411,894833
2008,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,498,538,1036,,,,,,,,,59801,,,59801,84433,97160,,181593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185342,,,185342,8467,7628,,16095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21475,23582,,45057,,48583,,48583,,,,,,,,,17432,16654,,34086,,,,,,,,,,,,,8631,11575,,20206,10304,3782,,14086,10090,5872,,15962,24854,22362,,47216,,46455,,46455,,,,,,,,,,,,,,,,,430829,283653,,104516,818998
2009,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,505,532,1037,,,,,,,,,93458,,,93458,79924,60309,,140233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133608,,,133608,10424,10037,,20461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31900,34688,,66588,,49895,,49895,,,,,,,,,11725,12941,,24666,,,,,,,,,,,,,12843,21547,,34390,16202,12922,,29124,15914,13210,,29124,12914,11842,,24756,,46388,,46388,,,,,,,,,,,,,,,,,418912,273779,,12395,705086
2010,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,503,538,1041,,,,,,,,,81711,,,81711,90324,71444,,161768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167832,,,167832,18108,8738,,26846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33337,37022,,70359,,48185,,48185,,,,,15481,15481,,30962,,,,,,,,,,,,,,,,,13075,21014,,34089,17997,17997,,35994,17997,17997,,35994,15437,15437,,30874,,51872,,51872,,,,,,,,,,,,,,,,,471299,305187,,250459,1026945
2011,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,478,489,967,,,,,,,,,81072,,,81072,67327,69814,,137141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152154,,,152154,8182,11683,,19865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43429,43792,,87221,,57411,,57411,,,,,8933,8697,,17630,,,,,,,,,,,,,,,,,17475,14353,,31828,19030,19030,,38060,19979,19979,,39958,14744,14744,,29488,,64072,,64072,,,,,,,,,,,,,,,,,432325,323575,,337326,1093226
2012,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,428,475,903,,,,,,,,,123173,,,123173,111665,63502,,175167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145737,,,145737,4695,3429,,8124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55573,58260,,113833,,75826,,75826,,,,,,,,,37579,37579,,75158,,,,,,,,,,,,,16350,10371,,26721,22578,22578,,45156,22578,22578,,45156,17473,17473,,34946,,54859,,54859,,,,,,,,,,,,,,,,,557401,366455,,302182,1226038
