Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
09/10/2022,Monmouth (IL),L,0-48,0,0,0,0,0,0,0,0,0,0,0,0,0
9/17/2022,Lawrence University,W,28-7,3,2,14,2,2,0,0,0,1,0,0,0,0
10/01/2022,Beloit,W,28-20,4,2,14,2,1,1,0,0,0,1,0,0,1
10/08/2022,Ripon,L,6-56,1,0,0,0,0,0,0,0,1,0,0,0,0
10/15/2022,Knox,L,7-28,4,1,7,1,0,1,0,0,1,1,0,0,1
10/22/2022,Lake Forest,L,0-49,0,0,0,0,0,0,0,0,0,0,0,0,0
10/29/2022,Univ. of Chicago,L,0-58,0,0,0,0,0,0,0,0,0,0,0,0,0
11/12/2022,Cornell College,L,6-45,2,1,6,1,0,1,0,0,1,0,0,0,0
,TOTALS,,,14,6,41,6,3,3,0,0,4,2,0,0,2
