#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
7.0,"Morri, Ricky 7 Morri, Ricky",41,1459,35.59,65,0,4,8,5,0,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",7,204,29.14,47,0,0,1,0,0,View Bio
,Team  Team,1,0,0.0,0,0,0,0,0,1,
,Total,49,1663,33.94,65,0,4,9,5,1,
,Opponents,24,909,37.88,69,1,5,8,6,1,
