Statistic,GRINNELL,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,9.38,38.88
Total TOT,75,311
First Downs,First Downs,First Downs
Rushing RUSH,50,79
Passing PASS,37,41
Penalty PEN,9,11
Total TOT,96,131
Rushing,Rushing,Rushing
Yards Gained YDS,1092,1893
Yards Lost YDL,329,143
Attempts ATT,321,297
Average Per Attempt AVG/ATT,2.4,5.9
Avg. Per Game AVG/G,95.4,218.8
Touchdowns TDS,4,25
Total TOT,763,1750
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,158-74-10,147-76-4
Avg. Per Attempt AVG/ATT,5.09,7.16
Avg. Per Game AVG/G,100.63,131.63
Touchdowns TDS,7,15
Total TOT,805,1053
Total Offense,Total Offense,Total Offense
Total Plays TOT,479,444
Avg. Per Play AVG/P,3.3,6.3
Avg. Per Game AVG/G,196.0,350.4
Total Yards TOT YDS,1568,2803
Touchdowns TDS,11,42
Returns,Returns,Returns
Kickoff: Average KO: AVG,12.68,16.11
Kickoff: Total KO: TOT,31-393,9-145
Punt: Average P: AVG,3.67,14.00
Punt: Total P: TOT,3-11,22-308
INT: Average INT: AVG,7.25,8.40
INT: Total INT: TOT,4-29,10-84
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,33.94,37.88
Punt: Net Average P: Net AVG,27.65,36.58
Punt: Total Yards P: YDS,49-1663,24-909
FG: Good-Attempts FG: FGM-FGA,0-0,6-8
Onside Kicks Onside K,1-4,0-1
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,40.00,41.38
Total-Yards TOT/YDS,37-320,38-331
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,32:59,25:59
Total TOT,04:23:49,03:27:54
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,33-120 (27.50 %),32-82 (39.02 %)
4th Down Conversions 4th %,14-28 (50.00 %),7-13 (53.85 %)
Fumbles-Lost FUM-Lost,10-3,8-3
Sacks-Yards Lost SCK YDS,11-78,17-127
PAT: Good-Attempts PAT,9-9,39-41
Misc. Yards MISC YDS,0,0
Red Zone: Attempts-Scores RZ: ATT-Score,6-14,27-31
Red Zone: Touchdowns RZ: TDS,6-14,23-31
