#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
9.0,"Wilson, Garrett 9 Wilson, Garrett",8,22,366,16.64,5,47,45.75,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",7,22,210,9.55,1,57,30.0,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",8,8,100,12.5,0,40,12.5,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",8,4,70,17.5,1,36,8.75,View Bio
4.0,"Stefan, Luke 4 Stefan, Luke",6,6,27,4.5,0,10,4.5,View Bio
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",5,2,17,8.5,0,9,3.4,View Bio
12.0,"Hootstein, Avery 12 Hootstein, Avery",7,2,11,5.5,0,7,1.57,View Bio
35.0,"Bean, Garret 35 Bean, Garret",8,1,8,8.0,0,8,1.0,View Bio
23.0,"Ehrlich, Max 23 Ehrlich, Max",5,2,8,4.0,0,6,1.6,View Bio
58.0,"Urias Jr., Rene 58 Urias Jr., Rene",4,1,5,5.0,0,5,1.25,View Bio
32.0,"Reyes, Will 32 Reyes, Will",5,4,-17,-4.25,0,2,-3.4,View Bio
,Total,8,74,805,10.88,7,57,100.63,
,Opponents,8,76,1082,14.24,15,81,135.25,
