#,Player,NO,YDS,AVG,TD,Long,Bio Link
22.0,"Werner, Hugh 22 Werner, Hugh",2,11,5.5,0,6,View Bio
4.0,"Stefan, Luke 4 Stefan, Luke",1,0,0.0,0,0,View Bio
,Total,3,11,3.67,0,6,
,Opponents,22,308,14.0,1,83,
