#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
22.0,"Werner, Hugh 22 Werner, Hugh",8,30,12,42.0,1.0-1,0-0,1,1,0,1,0,0,0,View Bio
44.0,"Khater, Adam 44 Khater, Adam",8,29,7,36.0,3.0-4,0-0,0,0,1,0,1,0,0,View Bio
11.0,"Burton, Clayton 11 Burton, Clayton",8,19,6,25.0,6.0-33,3.5-25,1,1,0,0,0,0,0,View Bio
15.0,"Johanson, Kevin 15 Johanson, Kevin",8,20,4,24.0,2.0-4,0-0,0,3,0,0,1,0,0,View Bio
3.0,"Johnson, Tim 3 Johnson, Tim",8,15,9,24.0,2.5-18,2.0-15,0,0,0,0,0,0,0,View Bio
20.0,"Fitzgerald, Keaton 20 Fitzgerald, Keaton",8,18,5,23.0,0-0,0-0,0,0,0,0,0,1,0,View Bio
5.0,"Cooper, Davis 5 Cooper, Davis",7,15,7,22.0,3.5-16,1.5-12,0,0,0,0,0,0,0,View Bio
8.0,"Jones, Josh 8 Jones, Josh",8,18,4,22.0,2.0-6,0-0,1,0,0,0,0,0,0,View Bio
92.0,"Porter, Luke 92 Porter, Luke",8,14,7,21.0,3.5-13,1.5-9,0,0,0,1,0,1,0,View Bio
14.0,"Hong, Jio 14 Hong, Jio",7,19,0,19.0,2.0-4,0-0,1,1,0,0,0,0,0,View Bio
30.0,"Bishop, Breck 30 Bishop, Breck",7,14,3,17.0,1.0-1,0-0,0,0,0,0,0,0,0,View Bio
34.0,"Greene, Bert 34 Greene, Bert",7,8,7,15.0,1.5-5,0.5-4,0,0,0,0,0,0,0,View Bio
55.0,"Lawrence, TJ 55 Lawrence, TJ",8,8,6,14.0,0-0,0-0,0,0,3,0,0,0,0,View Bio
41.0,"Blanchard, Greyson 41 Blanchard, Greyson",7,7,6,13.0,2.5-12,0.5-4,0,0,0,0,0,0,0,View Bio
17.0,"Tennicott, Brandon 17 Tennicott, Brandon",5,9,4,13.0,0-0,0-0,0,1,0,1,0,0,0,View Bio
9.0,"Nissen, Scott 9 Nissen, Scott",6,3,6,9.0,0.5-4,0.5-4,0,0,0,0,0,0,0,View Bio
42.0,"Walters, Luke 42 Walters, Luke",5,6,2,8.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
16.0,"Semmen, Seth 16 Semmen, Seth",5,4,2,6.0,0-0,0-0,0,2,0,0,0,0,0,View Bio
99.0,"Kozhaya, Andrew 99 Kozhaya, Andrew",3,3,2,5.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
56.0,"O'Malley, Finn 56 O'Malley, Finn",5,5,0,5.0,0-0,0-0,0,1,0,0,0,0,0,View Bio
98.0,"Chu, Travis 98 Chu, Travis",8,2,2,4.0,2.0-8,1.0-5,0,0,0,0,0,0,0,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",7,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
4.0,"Stefan, Luke 4 Stefan, Luke",6,3,0,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
23.0,"Ehrlich, Max 23 Ehrlich, Max",5,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
6.0,"Quintana, David 6 Quintana, David",1,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
13.0,"Smith, Connor 13 Smith, Connor",3,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
1.0,"Baird, Henry 1 Baird, Henry",6,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
86.0,"Cerrato, Ben 86 Cerrato, Ben",6,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
21.0,"Dworkin, Henry 21 Dworkin, Henry",1,1,0,1.0,1.0-1,0-0,0,0,0,0,0,0,0,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
32.0,"Reyes, Will 32 Reyes, Will",5,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
33.0,"Stoller, Evan 33 Stoller, Evan",5,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
40.0,"Uchino, Hero 40 Uchino, Hero",1,0,1,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
58.0,"Urias Jr., Rene 58 Urias Jr., Rene",4,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
9.0,"Wilson, Garrett 9 Wilson, Garrett",8,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",5,0,0,0.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,8,285,104,389.0,34.0-130,11.0-78,4,10,4,3,2,2,0,
,Opponents,8,300,184,484.0,65.0-277,17.0-127,10,25,4,3,3,1,0,
