#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",6,106.39,62,125,6,49.60 %,713,7,57,118.83,View Bio
22.0,"Werner, Hugh 22 Werner, Hugh",8,198.27,2,3,0,66.67 %,47,0,25,5.88,View Bio
1.0,"Baird, Henry 1 Baird, Henry",6,23.6,8,22,3,36.36 %,38,0,9,6.33,View Bio
12.0,"Hootstein, Avery 12 Hootstein, Avery",6,35.5,1,4,0,25.00 %,5,0,5,0.83,View Bio
24.0,"Quirk, Danny 24 Quirk, Danny",8,-20.8,1,4,1,25.00 %,2,0,2,0.25,View Bio
,Total,8,91.59,74,158,10,46.84 %,805,7,57,100.63,
,Opponents,8,140.1,76,147,4,51.70 %,1053,15,81,131.63,
