Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Monmouth (IL),48-0,6/16,3/5,3/11,0/0,41--25 / 34-126,8-17-1 / 16-26-1,61/309,58-36 / 60-435,44/33,2/2
Lawrence University,7-28,15/10,6/5,6/4,3/1,44-189 / 33-144,14-20-0 / 12-25-1,187/88,64-376 / 58-232,5/16,0/2
Beloit,28-20,22/16,12/6,10/6,0/4,38-172 / 28-68,18-28-2 / 16-36-1,184/169,66-356 / 64-237,115/138,2/1
Ripon,6-56,11/17,6/9,5/5,0/3,48-95 / 33-238,7-23-2 / 9-22-0,76/134,71-171 / 55-372,49/217,2/1
Knox,7-28,18/15,6/15,9/0,3/0,38-93 / 46-259,16-33-3 / 0-2-0,195/0,71-288 / 48-259,63/43,4/0
Lake Forest,0-49,2/20,2/14,0/5,0/1,34-61 / 36-351,1-1-0 / 10-14-1,2/117,35-63 / 50-468,66/9,1/1
Univ. of Chicago,0-58,8/18,5/10,1/7,2/1,43-50 / 39-248,4-16-1 / 8-13-0,17/138,59-67 / 52-386,43/74,1/0
Cornell College,6-45,14/19,10/15,3/3,1/1,35-128 / 48-316,6-20-1 / 5-9-0,83/98,55-211 / 57-414,52/7,1/0
