#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
9.0,"Wilson, Garrett 9 Wilson, Garrett",5,0,0,0-0,0-0,0,0-0,0,30,View Bio
2.0,"Woodhouse, Grayson 2 Woodhouse, Grayson",3,0,0,0-0,0-0,0,0-1,0,18,View Bio
19.0,"Rhinehart, Nick 19 Rhinehart, Nick",1,0,0,9-9,0-0,0,0-0,0,15,View Bio
7.0,"Morri, Ricky 7 Morri, Ricky",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
4.0,"Stefan, Luke 4 Stefan, Luke",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,Total,11,0,0,9-9,0-0,0,0-2,0,75,
,Opponents,42,6,0,39-41,0-0,1,1-1,0,311,
