Stat,Value,Player/Opponent
Rushes,48,vs Ripon (10/08/2022)
Yards Rushing,189,vs Lawrence University (9/17/2022)
TD Rushes,2,vs Beloit (10/01/2022)
Pass Attempts,33,vs Knox (10/15/2022)
Pass Completions,18,vs Beloit (10/01/2022)
Yards Passing,195,vs Knox (10/15/2022)
TD Passes,2,vs Beloit (10/01/2022)
