Stat,Value,Player/Opponent
Rushes,25.0,"Gomez,Tony vs Cornell College (11/12/2022)"
Yards Rushing,235.0,"Gomez,Tony vs Cornell College (11/12/2022)"
TD Rushes,4.0,"D'Ambrose,Nick vs Univ. of Chicago (10/29/2022)"
Long Rush,70.0,"Brown,Armani vs Lake Forest (10/22/2022)"
Pass Attempts,35.0,"Shafer,Jacob vs Beloit (10/01/2022)"
Pass Completions,16.0,"Boyer,Carter vs Monmouth (IL) (09/10/2022)"
Yards Passing,309.0,"Boyer,Carter vs Monmouth (IL) (09/10/2022)"
TD Passes,4.0,"Boyer,Carter vs Monmouth (IL) (09/10/2022)"
Longest Pass,81.0,"Boyer,Carter vs Monmouth (IL) (09/10/2022)"
Receptions,7.0,"Thornton,Nate vs Monmouth (IL) (09/10/2022)"
,7.0,"Fitzpatrick,AJ vs Beloit (10/01/2022)"
Yards Receiving,205.0,"Thornton,Nate vs Monmouth (IL) (09/10/2022)"
TD Receptions,3.0,"Thornton,Nate vs Monmouth (IL) (09/10/2022)"
Longest Reception,81.0,"Thornton,Nate vs Monmouth (IL) (09/10/2022)"
Field Goals,2.0,"Szelc,Cody vs Monmouth (IL) (09/10/2022)"
,2.0,"Cervantes Jr.,Rafael vs Beloit (10/01/2022)"
Longest Field Goal,51.0,"Goodman,Will vs Univ. of Chicago (10/29/2022)"
Punts,7.0,Ben Blumenthal vs Lawrence University (9/17/2022)
Punting Average,45.9,Ben Blumenthal vs Lawrence University (9/17/2022)
Longest Punt,69.0,Ben Blumenthal vs Lawrence University (9/17/2022)
Longest Punt Return,83.0,"Tattnall,Kerwin vs Ripon (10/08/2022)"
Longest Kickoff Return,38.0,"Moore,Chris vs Beloit (10/01/2022)"
Tackles,17.0,"Rau,Ean vs Knox (10/15/2022)"
Sacks,3.0,"Lockington,Landon vs Cornell College (11/12/2022)"
Interceptions,2.0,"Thorpe,Gavin vs Beloit (10/01/2022)"
,2.0,"Mora,Isaac vs Knox (10/15/2022)"
