Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Bresette-Buccino, Nora",SR-4,16.64,16 Midwest Conference Championships,"May 13, 2016",2.4
,"Holtzman, Gwen",FR-1,17.87,Grinnell College Dick Young Classic,"Apr 23, 2016",2.3
,"Silverwood, Sierra",SO-2,20.42,Grinnell College Dick Young Classic,"Apr 23, 2016",2.3
