Date,Time,At,Opponent,Location,TV,Radio,Tournament,Result,Links
"September 1, 2022 (Thursday)",4 PM,Home,Dominican University (Ill.),"Galesburg, IL/Jorge Prats Field",,,,"L,1-3",Box ScoreRecap
"September 2, 2022 (Friday)",5 PM,Home,University of Dubuque,"Galesburg, IL/Jorge Prats Field",,,,"L,0-2",Box ScoreRecap
"September 4, 2022 (Sunday)",3 PM,Home,University of Wisconsin-Whitewater,"Galesburg, IL/Jorge Prats Field",,,,"W,1-0",Box ScoreRecap
"September 6, 2022 (Tuesday)",7 PM,Away,Simpson College,"Indianola, IA",,,,"L,1-2",Box ScoreRecap
"September 9, 2022 (Friday)",4:30 PM,Home,Luther College,"Galesburg, IL/Jorge Prats Field",,,,"L,0-4",Box ScoreRecap
"September 11, 2022 (Sunday)",4 PM,Away,Wartburg College,"Waverly, IA",,,,"L,2-4",Box ScoreRecap
"September 13, 2022 (Tuesday)",7 PM,Away,Illinois Wesleyan University,"Bloomington, IL",,,,"L,3-4",Box ScoreRecap
"September 17, 2022 (Saturday)",5 PM,Away,North Park University,"Chiacgo, IL",,,,"L,1-2",Box ScoreRecap
"September 24, 2022 (Saturday)",1:30 PM,Home,Cornell College,"Galesburg, IL/Jorge Prats Field",,,,"W,4-2",Box ScoreRecap
"September 27, 2022 (Tuesday)",4:30 PM,Away,Grinnell College,"Grinnell, IA",,,,"L,0-1",Box ScoreRecap
"October 1, 2022 (Saturday)",11 AM,Away,Beloit College,"Beloit, WI",,,,"T,2-2",Box ScoreRecap
"October 5, 2022 (Wednesday)",4:30 PM,Home,Monmouth College,"Galesburg, IL/Jorge Prats Field",,,,"W,4-2",Box ScoreRecap
"October 8, 2022 (Saturday)",11 AM,Home,Lawrence University,"Galesburg, IL/Jorge Prats Field",,,Senior Day,"W,2-0",Box ScoreRecap
"October 15, 2022 (Saturday)",11 AM,Away,Ripon College,"Ripon, WI",,,,"L,1-3",Box ScoreRecap
"October 22, 2022 (Saturday)",11 AM,Away,Lake Forest College,"Lake Forest, IL",,,,"L,0-1",Box ScoreRecap
"October 25, 2022 (Tuesday)",4:00 PM,Home,Illinois College,"Galesburg, IL/Jorge Prats Field",,,,"W,3-1",Box ScoreRecap
"November 4, 2022 (Friday)",11:00 am,Away,Lake Forest College,"Lake Forest, IL",,,Midwest Conference Tournament,"L,3-4",Box ScoreRecap
