Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Fadden, Lucas",FR-1,22.48,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Hiser, Alexander",SR-4,23.53,Grinnell Invitational,"Jan 28, 2023",NWI
,"Walcher, Kyler",SR-4,24.18,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"James, Xavier",SO-2,24.37,Grinnell Opener,"Dec 9, 2022",NWI
,"Fitzgerald, Keaton",FR-1,24.5,Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Fuller, Andrew",JR-3,24.82,Hilltop Invitational,"Jan 21, 2023",NWI
,"Stefan, Luke",SO-2,24.85,Grinnell Invitational,"Jan 28, 2023",NWI
,"Milenge, Moise",FR-1,25.19,Grinnell Opener,"Dec 9, 2022",NWI
,"Novelle, Jack",FR-1,25.59,Darren Young Classic,"Feb 11, 2023",NWI
,"Reyes, Will",FR-1,26.38,Darren Young Classic,"Feb 11, 2023",NWI
