#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
14.0,"Lillis, Erin 14 Lillis, Erin",21,32.6,0.396,0.283,0.733,0.8,3.3,4.1,3.0,1.5,0.0,18.0
10.0,"Ware, Nikki 10 Ware, Nikki",18,26.6,0.36,0.33,0.882,0.4,2.8,3.2,1.4,0.9,0.3,10.1
34.0,"Booher, Sara 34 Booher, Sara",23,20.5,0.413,0.0,0.533,1.7,6.0,7.6,1.1,0.5,1.3,6.3
22.0,"Thomas, Skylar 22 Thomas, Skylar",23,24.4,0.338,0.24,0.469,0.3,2.7,3.1,1.2,0.4,0.0,5.7
32.0,"Ericksen, Kelsey 32 Ericksen, Kelsey",23,11.0,0.416,0.435,0.625,0.1,0.7,0.8,0.4,0.1,0.1,4.2
35.0,"Toay, Sarah 35 Toay, Sarah",12,17.3,0.32,0.0,0.628,1.0,3.3,4.3,0.8,0.3,0.3,4.9
25.0,"Dougherty, Annabel 25 Dougherty, Annabel",21,18.0,0.472,0.0,0.722,1.0,2.6,3.6,0.5,0.4,0.3,3.0
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",23,20.4,0.364,0.243,0.579,0.2,2.6,2.7,1.0,0.5,0.4,3.3
11.0,"Carchidi, Eva 11 Carchidi, Eva",20,14.0,0.266,0.262,0.833,0.6,1.6,2.1,0.8,0.3,0.0,3.5
33.0,"Friedman, Elena 33 Friedman, Elena",11,6.8,0.429,0.333,1.0,0.1,0.6,0.7,0.1,0.3,0.0,3.2
15.0,"Hall, P.K. 15 Hall, P.K.",23,15.6,0.377,0.125,0.5,1.4,2.3,3.7,0.7,0.3,0.2,2.5
13.0,"Marsh, Grace 13 Marsh, Grace",22,14.3,0.403,0.212,0.778,0.5,2.1,2.6,0.9,0.4,0.0,2.9
5.0,"Cordes, Eleanor 05 Cordes, Eleanor",2,11.5,0.0,0.0,0.8,1.0,0.0,1.0,1.5,0.0,0.0,2.0
24.0,"Filkins, Annie 24 Filkins, Annie",7,10.0,0.3,0.286,0.5,0.3,1.6,1.9,0.4,0.7,0.0,2.7
,Total,23,201.1,0.376,0.283,0.67,8.9,30.3,39.3,11.0,5.4,2.7,59.96
,Opponents,23,201.1,0.355,0.252,0.703,11.4,27.8,39.2,11.1,9.1,2.2,59.52
