Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Buena Vista,11/08/22,47-57,-10,17-53/21-69,.321/.304,4-17/7-27,.235/.259,9-18/8-9,.500-.889,36/52 -16,9/12,16/16,4/0,7/10,14/17
Neb. Wesleyan,11/12/22,46-63,-17,11-43/20-59,.256/.339,5-26/9-29,.192/.310,19-28/14-18,.679-.778,46/32 14,6/9,22/8,2/1,4/13,16/25
Cent. Christian Bib.,11/14/22,73-19,54,24-57/6-50,.421/.120,10-30/2-19,.333/.105,15-20/5-8,.750-.625,45/35 10,15/1,9/20,0/0,9/5,8/12
Central (IA),11/16/22,57-73,-16,23-60/27-76,.383/.355,0-16/11-37,.000/.297,11-17/8-10,.647-.800,44/48 -4,10/20,20/13,4/2,3/12,11/17
Lake Forest,11/19/22,67-63,4,23-63/22-64,.365/.344,10-29/8-26,.345/.308,11-20/11-15,.550-.733,37/39 -2,11/12,15/17,2/1,6/8,16/18
Mt. Mercy,11/22/22,88-102,-14,29-77/37-79,.377/.468,5-25/10-22,.200/.455,25-35/18-23,.714-.783,56/42 14,11/20,12/11,3/5,4/4,22/30
Knox,11/29/22,66-75,-9,24-64/29-70,.375/.414,6-22/4-16,.273/.250,12-17/13-17,.706-.765,42/45 -3,15/18,17/14,3/3,7/10,18/16
Lawrence,12/03/22,44-54,-10,18-49/22-60,.367/.367,4-18/3-16,.222/.188,4-5/7-13,.800-.538,35/38 -3,8/10,17/10,0/2,3/6,17/13
Cornell College,12/07/22,47-56,-9,16-43/20-57,.372/.351,9-24/6-23,.375/.261,6-7/10-12,.857-.833,35/29 6,11/13,28/12,0/3,5/16,13/17
Waldorf,12/09/22,57-45,12,23-60/18-63,.383/.286,6-18/5-19,.333/.263,5-11/4-9,.455-.444,41/29 12,14/8,13/10,5/2,6/8,13/12
Rockford,12/31/22,67-53,14,28-61/19-57,.459/.333,6-20/5-20,.300/.250,5-7/10-12,.714-.833,38/36 2,12/5,15/20,1/1,4/5,12/15
Ripon,01/03/23,43-63,-20,14-43/28-73,.326/.384,3-15/4-12,.200/.333,12-18/3-5,.667-.600,24/51 -27,5/13,21/20,11/3,8/13,10/21
Lawrence,01/07/23,74-46,28,29-58/19-63,.500/.302,11-25/0-11,.440/.000,5-9/8-17,.556-.471,42/36 6,12/2,16/14,0/1,9/9,13/9
Monmouth (IL),01/11/23,87-73,14,29-56/27-62,.518/.435,8-21/6-16,.381/.375,21-30/13-20,.700-.650,31/41 -10,11/7,11/17,5/1,8/7,14/22
Beloit,01/17/23,57-50,7,18-56/18-55,.321/.327,4-17/1-18,.235/.056,17-23/13-18,.739-.722,46/34 12,6/3,20/15,2/3,5/14,16/20
Ripon,01/21/23,50-64,-14,17-49/27-59,.347/.458,6-13/3-10,.462/.300,10-12/7-13,.833-.538,28/31 -3,9/15,19/11,2/2,5/9,12/12
Knox,01/25/23,51-63,-12,17-59/28-61,.288/.459,7-31/1-7,.226/.143,10-12/6-7,.833-.857,37/39 -2,11/16,16/13,0/3,3/6,14/16
Illinois Col.,01/28/23,52-55,-3,18-51/23-61,.353/.377,7-18/3-13,.389/.231,9-14/6-11,.643-.545,35/38 -3,12/11,19/12,1/4,3/14,10/17
Cornell College,01/31/23,56-44,12,21-54/17-55,.389/.309,10-30/5-27,.333/.185,4-5/5-6,.800-.833,39/32 7,19/12,11/8,5/1,3/4,9/10
Monmouth (IL),02/04/23,49-54,-5,19-58/21-68,.328/.309,9-31/6-25,.290/.240,2-5/6-9,.400-.667,41/37 4,9/12,19/5,2/4,2/13,15/14
Illinois Col.,02/08/23,43-54,-11,16-58/18-63,.276/.286,6-29/3-19,.207/.158,5-12/15-17,.417-.882,45/46 -1,8/9,20/11,4/6,0/11,15/17
Beloit,02/14/23,80-68,12,30-62/23-60,.484/.383,5-20/5-19,.250/.263,15-23/17-29,.652-.586,32/46 -14,18/12,16/23,3/1,13/7,20/21
Lake Forest,02/18/23,78-75,3,27-71/25-67,.380/.373,6-25/7-21,.240/.333,18-25/18-22,.720-.818,48/45 3,10/15,10/14,4/1,7/6,19/24
