Name,GP,STL,STL/G
"#14 Lillis, Erin",21,31,1.5
"#10 Ware, Nikki",18,17,0.9
"#34 Booher, Sara",23,11,0.5
"#20 Rockwell, Aiyana",23,11,0.5
"#25 Dougherty, Annabel",21,9,0.4
"#13 Marsh, Grace",22,9,0.4
"#22 Thomas, Skylar",23,9,0.4
"#11 Carchidi, Eva",20,6,0.3
"#15 Hall, P.K.",23,6,0.3
"#24 Filkins, Annie",7,5,0.7
"#35 Toay, Sarah",12,4,0.3
"#32 Ericksen, Kelsey",23,3,0.1
"#33 Friedman, Elena",11,3,0.3
