Name,GP,BLK,BLK/G
"#34 Booher, Sara",23,29,1.3
"#20 Rockwell, Aiyana",23,9,0.4
"#25 Dougherty, Annabel",21,7,0.3
"#10 Ware, Nikki",18,5,0.3
"#15 Hall, P.K.",23,4,0.2
"#35 Toay, Sarah",12,4,0.3
"#32 Ericksen, Kelsey",23,2,0.1
"#14 Lillis, Erin",21,1,0.0
"#13 Marsh, Grace",22,1,0.0
"#22 Thomas, Skylar",23,1,0.0
