#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",21,21.0,684,32.6,143,361,0.396,26,92,0.283,66,90,0.733,378,18.0,16,70,86,4.1,44,63,84,31,1,View Bio
10,"Ware, Nikki 10 Ware, Nikki",18,16.0,478,26.6,54,150,0.36,29,88,0.33,45,51,0.882,182,10.1,7,50,57,3.2,29,25,47,17,5,View Bio
34,"Booher, Sara 34 Booher, Sara",23,23.0,472,20.5,57,138,0.413,0,1,0.0,32,60,0.533,146,6.3,38,137,175,7.6,50,26,46,11,29,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",23,22.0,561,24.4,49,145,0.338,18,75,0.24,15,32,0.469,131,5.7,8,63,71,3.1,23,27,37,9,1,View Bio
35,"Toay, Sarah 35 Toay, Sarah",12,0.0,207,17.3,16,50,0.32,0,2,0.0,27,43,0.628,59,4.9,12,39,51,4.3,17,10,15,4,4,View Bio
32,"Ericksen, Kelsey 32 Ericksen, Kelsey",23,3.0,253,11.0,32,77,0.416,27,62,0.435,5,8,0.625,96,4.2,2,16,18,0.8,12,10,7,3,2,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",20,0.0,279,14.0,21,79,0.266,17,65,0.262,10,12,0.833,69,3.5,11,31,42,2.1,12,15,11,6,0,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",23,7.0,470,20.4,28,77,0.364,9,37,0.243,11,19,0.579,76,3.3,4,59,63,2.7,40,23,36,11,9,View Bio
33,"Friedman, Elena 33 Friedman, Elena",11,0.0,75,6.8,12,28,0.429,7,21,0.333,4,4,1.0,35,3.2,1,7,8,0.7,2,1,3,3,0,View Bio
25,"Dougherty, Annabel 25 Dougherty, Annabel",21,16.0,379,18.0,25,53,0.472,0,4,0.0,13,18,0.722,63,3.0,22,54,76,3.6,33,10,33,9,7,View Bio
13,"Marsh, Grace 13 Marsh, Grace",22,3.0,315,14.3,25,62,0.403,7,33,0.212,7,9,0.778,64,2.9,11,47,58,2.6,31,20,21,9,1,View Bio
24,"Filkins, Annie 24 Filkins, Annie",7,0.0,70,10.0,6,20,0.3,4,14,0.286,3,6,0.5,19,2.7,2,11,13,1.9,7,3,4,5,0,View Bio
15,"Hall, P.K. 15 Hall, P.K.",23,4.0,359,15.6,23,61,0.377,3,24,0.125,8,16,0.5,57,2.5,33,53,86,3.7,26,16,14,6,4,View Bio
05,"Cordes, Eleanor 05 Cordes, Eleanor",2,0.0,23,11.5,0,4,0.0,0,2,0.0,4,5,0.8,4,2.0,2,0,2,1.0,1,3,3,0,0,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,36,61,97,4.2,0,0,21,0,0,
,Total,23,,4625,201.1,491,1305,0.376,147,520,0.283,250,373,0.67,1379,59.96,205,698,903,39.3,327,252,382,124,63,
,Opponents,23,,4625,201.1,515,1451,0.355,114,452,0.252,225,320,0.703,1369,59.52,262,639,901,39.2,395,255,314,210,50,
