Name,GP,TO,TO/G
"#14 Lillis, Erin",21,84,4.0
"#10 Ware, Nikki",18,47,2.6
"#34 Booher, Sara",23,46,2.0
"#22 Thomas, Skylar",23,37,1.6
"#20 Rockwell, Aiyana",23,36,1.6
"#25 Dougherty, Annabel",21,33,1.6
"#13 Marsh, Grace",22,21,1.0
#TM Team,23,21,0.9
"#35 Toay, Sarah",12,15,1.3
"#15 Hall, P.K.",23,14,0.6
"#11 Carchidi, Eva",20,11,0.6
"#32 Ericksen, Kelsey",23,7,0.3
"#24 Filkins, Annie",7,4,0.6
"#05 Cordes, Eleanor",2,3,1.5
"#33 Friedman, Elena",11,3,0.3
