Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#10 Ware, Nikki",18,29,88,0.33,1.6,4.9
"#32 Ericksen, Kelsey",23,27,62,0.435,1.2,2.7
"#14 Lillis, Erin",21,26,92,0.283,1.2,4.4
"#22 Thomas, Skylar",23,18,75,0.24,0.8,3.3
"#11 Carchidi, Eva",20,17,65,0.262,0.9,3.3
"#20 Rockwell, Aiyana",23,9,37,0.243,0.4,1.6
"#33 Friedman, Elena",11,7,21,0.333,0.6,1.9
"#13 Marsh, Grace",22,7,33,0.212,0.3,1.5
"#24 Filkins, Annie",7,4,14,0.286,0.6,2.0
"#15 Hall, P.K.",23,3,24,0.125,0.1,1.0
"#34 Booher, Sara",23,0,1,0.0,0.0,0.0
"#05 Cordes, Eleanor",2,0,2,0.0,0.0,1.0
"#25 Dougherty, Annabel",21,0,4,0.0,0.0,0.2
"#35 Toay, Sarah",12,0,2,0.0,0.0,0.2
