#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",16,16.0,514,32.1,98,267,0.367,19,73,0.26,47,66,0.712,262,16.4,12,51,63,3.9,36,45,2.8,65,23,1,View Bio
10,"Ware, Nikki 10 Ware, Nikki",15,14.0,411,27.4,46,129,0.357,26,76,0.342,33,37,0.892,151,10.1,6,42,48,3.2,27,22,1.5,45,13,5,View Bio
34,"Booher, Sara 34 Booher, Sara",16,16.0,331,20.7,37,91,0.407,0,1,0.0,25,47,0.532,99,6.2,25,97,122,7.6,32,18,1.1,33,11,22,View Bio
22,"Thomas, Skylar 22 Thomas, Skylar",16,16.0,403,25.2,38,100,0.38,14,51,0.275,12,23,0.522,102,6.4,7,50,57,3.6,17,22,1.4,29,5,1,View Bio
32,"Ericksen, Kelsey 32 Ericksen, Kelsey",16,2.0,171,10.7,23,54,0.426,20,45,0.444,4,6,0.667,70,4.4,1,10,11,0.7,8,6,0.4,5,1,0,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",16,3.0,335,20.9,21,49,0.429,8,23,0.348,7,11,0.636,57,3.6,3,44,47,2.9,29,15,0.9,23,9,6,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",16,0.0,230,14.4,17,62,0.274,14,53,0.264,9,10,0.9,57,3.6,8,26,34,2.1,11,13,0.8,8,5,0,View Bio
35,"Toay, Sarah 35 Toay, Sarah",6,0.0,93,15.5,7,23,0.304,0,0,0.0,5,8,0.625,19,3.2,7,16,23,3.8,9,5,0.8,4,2,1,View Bio
25,"Dougherty, Annabel 25 Dougherty, Annabel",15,13.0,252,16.8,14,32,0.438,0,1,0.0,10,12,0.833,38,2.5,14,30,44,2.9,25,6,0.4,26,7,5,View Bio
33,"Friedman, Elena 33 Friedman, Elena",8,0.0,43,5.4,7,18,0.389,5,15,0.333,0,0,0.0,19,2.4,1,5,6,0.8,0,0,0.0,2,2,0,View Bio
15,"Hall, P.K. 15 Hall, P.K.",16,0.0,221,13.8,13,29,0.448,1,8,0.125,5,12,0.417,32,2.0,17,32,49,3.1,17,8,0.5,9,4,2,View Bio
13,"Marsh, Grace 13 Marsh, Grace",16,0.0,191,11.9,15,38,0.395,4,20,0.2,4,5,0.8,38,2.4,9,25,34,2.1,20,14,0.9,13,5,1,View Bio
24,"Filkins, Annie 24 Filkins, Annie",1,0.0,5,5.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,1,1,1.0,0,1,1.0,0,0,0,View Bio
TM,Team  TM Team,16,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,23,35,58,3.6,0,0,0.0,13,0,0,
,Total,16,,3200,200.0,336,894,0.376,111,368,0.302,161,237,0.679,944,59.0,133,464,597,37.3,231,175,10.9,275,87,44,
,Opponents,16,,3200,200.0,367,998,0.368,65,279,0.233,158,231,0.684,957,59.81,188,439,627,39.2,267,180,11.3,216,153,39,
