Name,GP,AST,AST/G
"#14 Lillis, Erin",21,63,3.0
"#22 Thomas, Skylar",23,27,1.2
"#34 Booher, Sara",23,26,1.1
"#10 Ware, Nikki",18,25,1.4
"#20 Rockwell, Aiyana",23,23,1.0
"#13 Marsh, Grace",22,20,0.9
"#15 Hall, P.K.",23,16,0.7
"#11 Carchidi, Eva",20,15,0.8
"#25 Dougherty, Annabel",21,10,0.5
"#32 Ericksen, Kelsey",23,10,0.4
"#35 Toay, Sarah",12,10,0.8
"#05 Cordes, Eleanor",2,3,1.5
"#24 Filkins, Annie",7,3,0.4
"#33 Friedman, Elena",11,1,0.1
