Name,GP,Pts,Pts/G
"#14 Lillis, Erin",21,378,18.0
"#10 Ware, Nikki",18,182,10.1
"#34 Booher, Sara",23,146,6.3
"#22 Thomas, Skylar",23,131,5.7
"#32 Ericksen, Kelsey",23,96,4.2
"#20 Rockwell, Aiyana",23,76,3.3
"#11 Carchidi, Eva",20,69,3.5
"#13 Marsh, Grace",22,64,2.9
"#25 Dougherty, Annabel",21,63,3.0
"#35 Toay, Sarah",12,59,4.9
"#15 Hall, P.K.",23,57,2.5
"#33 Friedman, Elena",11,35,3.2
"#24 Filkins, Annie",7,19,2.7
"#05 Cordes, Eleanor",2,4,2.0
