Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Buena Vista,11/08/22,47-57,L,17-53,0.321,4-17,0.235,9-18,0.5,5,31,36,36.0,14,9,16,4,7,47,47.0
at Neb. Wesleyan,11/12/22,46-63,L,11-43,0.256,5-26,0.192,19-28,0.679,12,34,46,41.0,16,6,22,2,4,46,46.5
vs Cent. Christian Bib.,11/14/22,73-19,W,24-57,0.421,10-30,0.333,15-20,0.75,8,37,45,42.3,8,15,9,0,9,73,55.3
at Central (IA),11/16/22,57-73,L,23-60,0.383,0-16,0.0,11-17,0.647,9,35,44,42.8,11,10,20,4,3,57,55.8
at Lake Forest,11/19/22,67-63,W,23-63,0.365,10-29,0.345,11-20,0.55,8,29,37,41.6,16,11,15,2,6,67,58.0
vs Mt. Mercy,11/22/22,88-102,L,29-77,0.377,5-25,0.2,25-35,0.714,19,37,56,44.0,22,11,12,3,4,88,63.0
vs Knox,11/29/22,66-75,L,24-64,0.375,6-22,0.273,12-17,0.706,13,29,42,43.7,18,15,17,3,7,66,63.4
at Lawrence,12/03/22,44-54,L,18-49,0.367,4-18,0.222,4-5,0.8,5,30,35,42.6,17,8,17,0,3,44,61.0
at Cornell College,12/07/22,47-56,L,16-43,0.372,9-24,0.375,6-7,0.857,6,29,35,41.8,13,11,28,0,5,47,59.4
at Waldorf,12/09/22,57-45,W,23-60,0.383,6-18,0.333,5-11,0.455,9,32,41,41.7,13,14,13,5,6,57,59.2
vs Rockford,12/31/22,67-53,W,28-61,0.459,6-20,0.3,5-7,0.714,10,28,38,41.4,12,12,15,1,4,67,59.9
vs Ripon,01/03/23,43-63,L,14-43,0.326,3-15,0.2,12-18,0.667,1,23,24,39.9,10,5,21,11,8,43,58.5
vs Lawrence,01/07/23,74-46,W,29-58,0.5,11-25,0.44,5-9,0.556,5,37,42,40.1,13,12,16,0,9,74,59.7
vs Monmouth (IL),01/11/23,87-73,W,29-56,0.518,8-21,0.381,21-30,0.7,6,25,31,39.4,14,11,11,5,8,87,61.6
at Beloit,01/17/23,57-50,W,18-56,0.321,4-17,0.235,17-23,0.739,13,33,46,39.9,16,6,20,2,5,57,61.3
at Ripon,01/21/23,50-64,L,17-49,0.347,6-13,0.462,10-12,0.833,7,21,28,39.1,12,9,19,2,5,50,60.6
at Knox,01/25/23,51-63,L,17-59,0.288,7-31,0.226,10-12,0.833,14,23,37,39.0,14,11,16,0,3,51,60.1
vs Illinois Col.,01/28/23,52-55,L,18-51,0.353,7-18,0.389,9-14,0.643,12,23,35,38.8,10,12,19,1,3,52,59.6
vs Cornell College,01/31/23,56-44,W,21-54,0.389,10-30,0.333,4-5,0.8,6,33,39,38.8,9,19,11,5,3,56,59.4
at Monmouth (IL),02/04/23,49-54,L,19-58,0.328,9-31,0.29,2-5,0.4,8,33,41,38.9,15,9,19,2,2,49,58.9
at Illinois Col.,02/08/23,43-54,L,16-58,0.276,6-29,0.207,5-12,0.417,13,32,45,39.2,15,8,20,4,0,43,58.1
vs Beloit,02/14/23,80-68,W,30-62,0.484,5-20,0.25,15-23,0.652,4,28,32,38.9,20,18,16,3,13,80,59.1
vs Lake Forest,02/18/23,78-75,W,27-71,0.38,6-25,0.24,18-25,0.72,12,36,48,39.3,19,10,10,4,7,78,60.0
Grinnell,,-,,491-1305,0.376,147-520,0.283,250-373,0.67,205,698,903,39.3,327,252,382,63,124,1379,60.0
Opponents,,-,,515-1451,0.355,114-452,0.252,225-320,0.703,262,639,901,39.2,395,255,314,50,210,1369,59.5
