Name,GP,AST,TO,AST/TO Ratio
"#11 Carchidi, Eva",20,15,11,1.36
"#05 Cordes, Eleanor",2,3,3,1.0
"#32 Ericksen, Kelsey",23,10,7,1.43
"#15 Hall, P.K.",23,16,14,1.14
