Name,GP,MIN,MIN/G
"#14 Lillis, Erin",21,684,32.6
"#22 Thomas, Skylar",23,561,24.4
"#10 Ware, Nikki",18,478,26.6
"#34 Booher, Sara",23,472,20.5
"#20 Rockwell, Aiyana",23,470,20.4
"#25 Dougherty, Annabel",21,379,18.0
"#15 Hall, P.K.",23,359,15.6
"#13 Marsh, Grace",22,315,14.3
"#11 Carchidi, Eva",20,279,14.0
"#32 Ericksen, Kelsey",23,253,11.0
"#35 Toay, Sarah",12,207,17.3
"#33 Friedman, Elena",11,75,6.8
"#24 Filkins, Annie",7,70,10.0
"#05 Cordes, Eleanor",2,23,11.5
