#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
14.0,"Lillis, Erin 14 Lillis, Erin",21,21.0,684,143,361,0.396,26,92,0.283,66,90,0.733,378,18.0
10.0,"Ware, Nikki 10 Ware, Nikki",18,16.0,478,54,150,0.36,29,88,0.33,45,51,0.882,182,10.1
34.0,"Booher, Sara 34 Booher, Sara",23,23.0,472,57,138,0.413,0,1,0.0,32,60,0.533,146,6.3
22.0,"Thomas, Skylar 22 Thomas, Skylar",23,22.0,561,49,145,0.338,18,75,0.24,15,32,0.469,131,5.7
32.0,"Ericksen, Kelsey 32 Ericksen, Kelsey",23,3.0,253,32,77,0.416,27,62,0.435,5,8,0.625,96,4.2
35.0,"Toay, Sarah 35 Toay, Sarah",12,0.0,207,16,50,0.32,0,2,0.0,27,43,0.628,59,4.9
25.0,"Dougherty, Annabel 25 Dougherty, Annabel",21,16.0,379,25,53,0.472,0,4,0.0,13,18,0.722,63,3.0
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",23,7.0,470,28,77,0.364,9,37,0.243,11,19,0.579,76,3.3
11.0,"Carchidi, Eva 11 Carchidi, Eva",20,0.0,279,21,79,0.266,17,65,0.262,10,12,0.833,69,3.5
33.0,"Friedman, Elena 33 Friedman, Elena",11,0.0,75,12,28,0.429,7,21,0.333,4,4,1.0,35,3.2
15.0,"Hall, P.K. 15 Hall, P.K.",23,4.0,359,23,61,0.377,3,24,0.125,8,16,0.5,57,2.5
13.0,"Marsh, Grace 13 Marsh, Grace",22,3.0,315,25,62,0.403,7,33,0.212,7,9,0.778,64,2.9
5.0,"Cordes, Eleanor 05 Cordes, Eleanor",2,0.0,23,0,4,0.0,0,2,0.0,4,5,0.8,4,2.0
24.0,"Filkins, Annie 24 Filkins, Annie",7,0.0,70,6,20,0.3,4,14,0.286,3,6,0.5,19,2.7
,Total,23,,4625,491,1305,0.376,147,520,0.283,250,373,0.67,1379,59.96
,Opponents,23,,4625,515,1451,0.355,114,452,0.252,225,320,0.703,1369,59.52
