0,1,2
Grinnell College,325,37
Peter Marsho,77,5
Ian Luby,82,10
Chris Marsho,82,10
Jon Cohen,84,12
Jared Dye,85,13
Logan Granera,89,17
James Borrasso,92,20
Ethan Kenvarg,100,28
Travis Palmer,101,29
