0,1,2,3,4,5
Grinnell College,331,339,670,94,8th
Peter Marsho,77,78,155,11,4th
Jared Dye,83,86,169,25,36th
Ian Luby,83,87,170,26,37th
Chris Marsho,88,88,176,32,43rd
Jon Cohen,90,91,181,37,51st
