0,1,2,3,4,5,6
Grinnell College,311,322,326,959,95,5th
Peter Marsho,76,80,82,238,22,t-14th
Jared Dye,79,81,83,243,27,17th
Jon Cohen,78,85,82,245,29,19th
James Borrasso,85,84,79,248,32,21st
Ian Luby,93,77,84,254,38,26th
Chris Marsho,78,91,87,256,40,t-28th
