0,1,2,3
Grinnell College,330,46,t-8th
Peter Marsho,74,3,t-4th
Ian Luby,83,12,t-36th
Jared Dye,86,15,t-51st
James Borrasso#,87,16,t-56th
Jon Cohen,87,16,t-56th
Chris Marsho,95,24,75th
