Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Athletic Student Aid,Women's Team Athletic Student Aid,Coed Team Athletic Student Aid
2003,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2004,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2005,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2006,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2007,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2008,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2009,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2010,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2011,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2012,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2013,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2014,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2015,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2016,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2017,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2018,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2019,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2020,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2021,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
2022,147341,00172500,Monmouth College,IL,NCAA Division III with football,,1,NCAA,380,364,744,0,0,
