Statistic,High,Opponent
INNINGS PITCHED,9.0,Wis.-Stevens Point (4/9/2022); Ripon (4/24/2022)
RUNS ALLOWED,13.0,St Catherine Univ (2/26/2022)
EARNED RUNS,11.0,St. Ambrose (3/22/2022); Illinois Col. (5/1/2022)
WALKS ALLOWED,9.0,St Catherine Univ (2/26/2022); Wis.-Stevens Point (4/9/2022)
STRIKEOUTS,6.0,Wis.-Stevens Point (4/9/2022)
HITS ALLOWED,20.0,Illinois Col. (5/1/2022)
DOUBLES ALLOWED,5.0,Ripon (4/24/2022); St Catherine Univ (2/27/2022)
TRIPLES ALLOWED,1.0,Wis.-Stevens Point (4/9/2022); Wis.-Eau Claire (3/23/2022); Coe College (4/12/2022); Lake Forest (4/15/2022); Cornell College (4/30/2022)
HOME RUNS ALLOWED,3.0,Middlebury (3/20/2022)
WILD PITCHES,6.0,St. Ambrose (3/22/2022)
HIT BATTERS,3.0,MIT (3/21/2022)
