#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
17.0,"Oda, Jasmine 17 Oda, Jasmine",69,68,1,0,1.0,2,0,0,0,0,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",54,45,9,0,1.0,2,18,2,5,0,View Bio
8.0,"Kohler, Lane 8 Kohler, Lane",13,3,10,0,1.0,0,10,0,0,0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",2,2,0,0,1.0,0,0,0,0,0,View Bio
22.0,"Webb, Mary 22 Webb, Mary",195,181,10,4,0.979,12,0,0,0,0,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",45,33,11,1,0.978,0,0,1,0,0,View Bio
12.0,"Nelson, Emma 12 Nelson, Emma",69,60,7,2,0.971,0,0,0,0,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",129,83,41,5,0.961,9,0,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",151,50,94,7,0.954,6,0,0,0,0,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",160,48,104,8,0.95,12,0,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",93,79,9,5,0.946,1,0,0,0,0,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",17,3,13,1,0.941,0,8,2,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",29,5,22,2,0.931,0,26,6,0,0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",14,12,1,1,0.929,0,0,0,0,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",92,67,16,9,0.902,2,26,7,3,0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",18,12,2,4,0.778,1,0,0,0,0,View Bio
7.0,"Weber, Sophie 7 Weber, Sophie",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1150,751,350,49,0.957,18,88,18,8,0,
,Opponents,1105,756,265,84,0.924,10,56,10,7,0,
