Statistic,High,Opponent
AT BATS,38,Monmouth (Ill.) (5/7/2022)
RUNS SCORED,13,Beloit (4/16/2022)
HITS,20,Beloit (4/16/2022)
RBIS,12,Beloit (4/16/2022)
DOUBLES,5,St. Olaf College (2/26/2022); Cornell College (4/30/2022)
TRIPLES,3,Monmouth (Ill.) (4/2/2022)
HOME RUNS,3,Monmouth (Ill.) (5/7/2022)
WALKS,8,St. Olaf College (3/25/2022)
STRIKEOUTS,12,MIT (3/21/2022); Illinois Col. (5/1/2022); St Catherine Univ (2/27/2022)
SAC HITS,3,Beloit (4/16/2022)
SAC FLIES,3,Knox (4/3/2022)
STOLEN BASES,4,Ripon (4/24/2022); St. Olaf College (2/26/2022)
HIT BY PITCH,2,MIT (3/21/2022); Knox (4/3/2022); Wis.-Stevens Point (4/9/2022); Lawrence (4/23/2022); Lawrence (4/23/2022)
CAUGHT STEALING,1,St Catherine Univ (2/26/2022); MIT (3/21/2022); Knox (4/3/2022); St Catherine Univ (2/27/2022); Beloit (4/16/2022)
HIT INTO DP,2,Beloit (4/16/2022); Cornell College (4/30/2022)
