Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,K. Vermeulen; Maddy O'Bryan; Kathryn Vermeulen,Wis.-Stevens Point (4/9/2022); Illinois Col. (5/1/2022); Wis.-Eau Claire (3/23/2022); Monmouth (Ill.) (4/2/2022); Coe College (4/12/2022)
RUNS ALLOWED,11.0,Maddy O'Bryan,Illinois Col. (5/1/2022)
EARNED RUNS,11.0,Maddy O'Bryan,Illinois Col. (5/1/2022)
WALKS ALLOWED,6.0,Kathryn Vermeulen,Colby (3/22/2022)
STRIKEOUTS,6.0,K. Vermeulen,Wis.-Stevens Point (4/9/2022)
HITS ALLOWED,20.0,Maddy O'Bryan,Illinois Col. (5/1/2022)
DOUBLES ALLOWED,4.0,Maddy O'Bryan; Kathryn Vermeulen,Illinois Col. (5/1/2022); St Catherine Univ (2/27/2022)
TRIPLES ALLOWED,1.0,L. Kohler; Kathryn Vermeulen,Wis.-Stevens Point (4/9/2022); Wis.-Eau Claire (3/23/2022); Coe College (4/12/2022); Lake Forest (4/15/2022); Cornell College (4/30/2022)
HOME RUNS ALLOWED,3.0,Kathryn Vermeulen,Middlebury (3/20/2022)
WILD PITCHES,5.0,Maddy O'Bryan,St. Ambrose (3/22/2022)
HIT BATTERS,3.0,Kathryn Vermeulen,MIT (3/21/2022)
