#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
88,"Chu, Samantha 88 Chu, Samantha",0.425,1.136,38-38,127,30,54,16,0,4,38,82,0.646,8,8,4,1,0.49,0,0,2-2,View Bio
10,"Ramirez, Amanda 10 Ramirez, Amanda",0.381,1.009,35-35,118,35,45,10,5,1,20,68,0.576,6,7,9,0,0.433,3,1,5-7,View Bio
23,"Durak, Taylor 23 Durak, Taylor",0.345,0.974,37-34,110,19,38,11,0,5,30,64,0.582,9,0,19,0,0.392,1,0,0-0,View Bio
26,"Anson, Kambria 26 Anson, Kambria",0.342,0.776,39-39,111,25,38,1,3,0,10,45,0.405,5,0,12,0,0.371,0,2,12-14,View Bio
2,"Okada, Alexa 2 Okada, Alexa",0.316,0.861,38-37,114,29,36,9,2,0,25,49,0.43,19,4,18,0,0.431,0,3,3-4,View Bio
5,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",0.256,0.71,30-30,78,10,20,5,0,1,14,28,0.359,12,1,21,0,0.351,3,0,0-0,View Bio
12,"Nelson, Emma 12 Nelson, Emma",0.253,0.64,35-34,99,16,25,2,2,0,7,31,0.313,7,4,16,0,0.327,0,7,2-2,View Bio
22,"Webb, Mary 22 Webb, Mary",0.221,0.629,33-33,77,5,17,5,0,2,17,28,0.364,5,0,29,0,0.265,1,2,0-0,View Bio
17,"Oda, Jasmine 17 Oda, Jasmine",0.326,0.774,21-14,46,2,15,2,0,0,5,17,0.37,6,0,13,0,0.404,0,0,0-0,View Bio
19,"O'Bryan, Maddy 19 O'Bryan, Maddy",0.292,0.671,19-9,24,8,7,0,0,0,2,7,0.292,3,1,6,0,0.379,1,0,0-0,View Bio
7/34,"Weber, Sophie 7/34 Weber, Sophie",0.286,0.572,7-1,7,3,2,0,0,0,4,2,0.286,0,0,2,0,0.286,0,0,0-0,View Bio
13,"Killion, Kyra 13 Killion, Kyra",0.267,0.724,17-15,45,7,12,5,0,0,6,17,0.378,6,0,5,1,0.346,1,3,1-1,View Bio
4,"Dykstra, Hannah 4 Dykstra, Hannah",0.241,0.681,17-9,29,10,7,1,0,0,2,8,0.276,6,2,12,0,0.405,0,0,1-1,View Bio
18,"DiCarlo, Sofia 18 DiCarlo, Sofia",0.182,0.455,7-3,11,1,2,1,0,0,1,3,0.273,0,0,1,1,0.182,0,0,0-0,View Bio
8,"Kohler, Lane 8 Kohler, Lane",0.154,0.507,22-9,13,3,2,0,0,0,0,2,0.154,4,0,4,0,0.353,0,0,0-0,View Bio
3,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",0.147,0.395,19-8,34,1,5,2,0,0,1,7,0.206,2,0,10,0,0.189,1,0,0-0,View Bio
11,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",0.146,0.417,25-22,48,8,7,1,0,0,8,8,0.167,7,0,19,0,0.25,1,6,2-2,View Bio
,Totals,0.304,0.803,39-39,1091,212,332,71,12,13,190,466,0.427,105,27,200,3,0.376,12,24,28-33,
,Opponents,0.341,0.878,39-39,1049,230,358,68,6,13,197,477,0.455,134,27,86,9,0.423,17,28,44-53,
