#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
7.0,"Weber, Sophie 7Weber, Sophie",1.0,2.0,3-0,1,1,1,0,0,0,2,1,1.0,0,0,0,0,1.0,0,0,0-0,View Bio
10.0,"Ramirez, Amanda 10Ramirez, Amanda",0.509,1.302,15-15,55,23,28,6,4,0,14,42,0.764,1,6,2,0,0.538,3,0,3-4,View Bio
88.0,"Chu, Samantha 88Chu, Samantha",0.483,1.255,16-16,58,19,28,8,0,2,22,42,0.724,2,4,0,1,0.531,0,0,1-1,View Bio
26.0,"Anson, Kambria 26Anson, Kambria",0.404,0.897,16-16,47,17,19,1,1,0,2,22,0.468,2,0,6,0,0.429,0,1,8-8,View Bio
23.0,"Durak, Taylor 23Durak, Taylor",0.4,1.144,16-15,50,7,20,9,0,2,19,35,0.7,4,0,6,0,0.444,0,0,0-0,View Bio
4.0,"Dykstra, Hannah 4Dykstra, Hannah",0.385,0.929,7-3,13,5,5,1,0,0,1,6,0.462,1,1,3,0,0.467,0,0,0-0,View Bio
2.0,"Okada, Alexa 2Okada, Alexa",0.382,1.059,16-16,55,18,21,7,2,0,16,32,0.582,7,3,6,0,0.477,0,1,2-3,View Bio
12.0,"Nelson, Emma 12Nelson, Emma",0.375,0.819,14-13,40,7,15,1,0,0,2,16,0.4,1,2,4,0,0.419,0,2,0-0,View Bio
13.0,"Killion, Kyra 13Killion, Kyra",0.333,0.852,8-8,21,3,7,2,0,0,5,9,0.429,4,0,2,1,0.423,1,1,1-1,View Bio
19.0,"O'Bryan, Maddy 19O'Bryan, Maddy",0.313,0.646,8-5,16,4,5,0,0,0,2,5,0.313,1,0,3,0,0.333,1,0,0-0,View Bio
22.0,"Webb, Mary 22Webb, Mary",0.278,0.825,15-15,36,5,10,2,0,2,14,18,0.5,3,0,12,0,0.325,1,1,0-0,View Bio
17.0,"Oda, Jasmine 17Oda, Jasmine",0.263,0.526,7-5,19,0,5,0,0,0,3,5,0.263,0,0,5,0,0.263,0,0,0-0,View Bio
18.0,"DiCarlo, Sofia 18DiCarlo, Sofia",0.25,0.75,4-0,4,1,1,1,0,0,1,2,0.5,0,0,0,0,0.25,0,0,0-0,View Bio
8.0,"Kohler, Lane 8Kohler, Lane",0.25,0.821,7-3,4,3,1,0,0,0,0,1,0.25,3,0,1,0,0.571,0,0,0-0,View Bio
11.0,"Vermeulen, Kathryn 11Vermeulen, Kathryn",0.235,0.616,8-8,17,7,4,0,0,0,1,4,0.235,4,0,4,0,0.381,0,2,1-1,View Bio
5.0,"Vermeulen, Lizzy 5Vermeulen, Lizzy",0.192,0.457,10-10,26,2,5,1,0,0,5,6,0.231,2,0,5,0,0.226,3,0,0-0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3DiGiacomo-Zahller, Emma",0.167,0.434,6-3,12,1,2,0,0,0,1,2,0.167,2,0,2,0,0.267,1,0,0-0,View Bio
,Totals,0.373,0.951,16-16,474,123,177,39,7,6,110,248,0.523,37,16,61,2,0.428,10,8,16-18,
,Opponents,0.317,0.813,16-16,417,75,132,28,2,5,68,179,0.429,42,10,39,5,0.384,10,9,19-21,
