#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
13.0,"Killion, Kyra 13 Killion, Kyra",29,26,3,0,1.0,1,6,0,0,0,View Bio
12.0,"Nelson, Emma 12 Nelson, Emma",27,25,2,0,1.0,0,0,0,0,0,View Bio
17.0,"Oda, Jasmine 17 Oda, Jasmine",18,18,0,0,1.0,0,0,0,0,0,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",16,13,3,0,1.0,0,0,0,0,0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",5,5,0,0,1.0,0,0,0,0,0,View Bio
8.0,"Kohler, Lane 8 Kohler, Lane",3,1,2,0,1.0,0,1,0,0,0,View Bio
22.0,"Webb, Mary 22 Webb, Mary",77,74,2,1,0.987,7,0,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",41,38,2,1,0.976,0,0,0,0,0,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",64,20,42,2,0.969,5,0,0,0,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",49,33,14,2,0.959,5,0,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",58,17,38,3,0.948,4,0,0,0,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",36,26,8,2,0.944,2,13,2,2,0,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",11,2,8,1,0.909,0,5,0,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",8,2,4,2,0.75,0,13,2,0,0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",7,5,0,2,0.714,0,0,0,0,0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",0,0,0,0,0.0,0,0,0,0,0,View Bio
7.0,"Weber, Sophie 7 Weber, Sophie",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,449,305,128,16,0.964,24,38,4,2,0,
,Opponents,442,301,102,39,0.912,10,32,4,4,0,
