Player,Longest,Current
"Chu, Samantha",12,-
"Durak, Taylor",11,4
"Nelson, Emma",7,-
"Okada, Alexa",6,2
"O'Bryan, Maddy",6,-
"Anson, Kambria",6,2
"Dykstra, Hannah",5,-
"Ramirez, Amanda",5,1
"Webb, Mary",5,3
"Oda, Jasmine",4,1
"Vermeulen, Lizzy",3,1
"DiGiacomo-Zahller, Emma",2,1
"Weber, Sophie",2,-
"Kohler, Lane",2,-
"Killion, Kyra",2,2
"Vermeulen, Kathryn",1,1
"DiCarlo, Sofia",1,-
