Player,2,3,4,5+,Total
"Chu, Samantha",9,6,-,1,16
"Ramirez, Amanda",7,5,2,-,14
"Okada, Alexa",6,4,-,-,10
"Durak, Taylor",8,2,-,-,10
"Anson, Kambria",7,2,1,-,10
"Nelson, Emma",5,1,-,-,6
"Vermeulen, Lizzy",4,1,-,-,5
"Oda, Jasmine",2,1,-,-,3
"Killion, Kyra",2,-,-,-,2
"Webb, Mary",2,-,-,-,2
"Dykstra, Hannah",1,-,-,-,1
"Vermeulen, Kathryn",1,-,-,-,1
TEAM,54,22,3,1,80
