Statistic,High,Player,Opponent
AT BATS,5,A. Ramirez; Alexa Okada; Samantha Chu; Amanda Ramirez,Wis.-Stevens Point (4/9/2022); Ripon (4/24/2022); Illinois Col. (5/1/2022); Monmouth (Ill.) (5/7/2022); St. Olaf College (3/25/2022)
RUNS SCORED,3,Alexa Okada; Samantha Chu; Amanda Ramirez,Lawrence (4/23/2022); Ripon (4/24/2022); Monmouth (Ill.) (5/7/2022); Monmouth (Ill.) (4/2/2022); Beloit (4/16/2022)
HITS,5,Samantha Chu,Monmouth (Ill.) (5/7/2022)
RBIS,5,Taylor Durak,Lawrence (4/23/2022)
DOUBLES,3,Amanda Ramirez,Beloit (4/16/2022)
TRIPLES,2,Amanda Ramirez,Knox (4/3/2022); Monmouth (Ill.) (4/2/2022)
HOME RUNS,2,Samantha Chu,Monmouth (Ill.) (5/7/2022)
WALKS,3,Alexa Okada; Lane Kohler,Lawrence (4/23/2022); Monmouth (Ill.) (4/2/2022)
STRIKEOUTS,3,Lizzy Vermeulen; Maddy O'Bryan,MIT (3/21/2022); Illinois Col. (5/1/2022)
SAC HITS,1,Kyra Killion; Alexa Okada; Kathryn Vermeulen; A. Ramirez; K. Anson,Luther College (2/27/2022); MIT (3/21/2022); St. Ambrose (3/22/2022); Wis.-Stevens Point (4/9/2022); Wis.-Stevens Point (4/9/2022)
SAC FLIES,1,Kyra Killion; Lizzy Vermeulen; Amanda Ramirez; Mary Webb; Kathryn Vermeulen,Knox (4/3/2022); Lawrence (4/23/2022); Ripon (4/24/2022); Illinois Col. (5/1/2022); UW-Oshkosh (3/21/2022)
STOLEN BASES,2,Amanda Ramirez; Kami Anson,Ripon (4/24/2022); St. Olaf College (2/26/2022); Monmouth (Ill.) (4/2/2022)
HIT BY PITCH,1,Amanda Ramirez; Samantha Chu; S. Chu,MIT (3/21/2022); Trinity (Conn.) (3/25/2022); Knox (4/3/2022); Knox (4/3/2022); Wis.-Stevens Point (4/9/2022)
CAUGHT STEALING,1,Kami Anson; Amanda Ramirez; Alexa Okada,St Catherine Univ (2/26/2022); MIT (3/21/2022); Knox (4/3/2022); St Catherine Univ (2/27/2022); Beloit (4/16/2022)
HIT INTO DP,1,Jasmine Oda; Sofia DiCarlo; Alexa Okada; Taylor Durak; Samantha Chu,Tufts (3/20/2022); Central (IA) (4/28/2022); Illinois Col. (5/1/2022); Lake Forest (5/8/2022); UW-Oshkosh (3/21/2022)
