Player,2,3,4,5+,Total
"Chu, Samantha",4,3,3,-,10
"Okada, Alexa",5,2,-,-,7
"Durak, Taylor",3,1,1,1,6
"Webb, Mary",4,1,-,-,5
"Vermeulen, Lizzy",4,-,-,-,4
"Ramirez, Amanda",3,1,-,-,4
"Anson, Kambria",3,-,-,-,3
"Weber, Sophie",2,-,-,-,2
"Vermeulen, Kathryn",2,-,-,-,2
"Killion, Kyra",2,-,-,-,2
"Oda, Jasmine",1,-,-,-,1
TEAM,33,8,4,1,46
