Player,Longest,Current
"Chu, Samantha",21,-
"Durak, Taylor",13,4
"Ramirez, Amanda",12,1
"Webb, Mary",9,9
"Nelson, Emma",8,-
"O'Bryan, Maddy",7,7
"Okada, Alexa",6,2
"Anson, Kambria",6,2
"Dykstra, Hannah",5,1
"Vermeulen, Lizzy",5,1
"Killion, Kyra",4,3
"Oda, Jasmine",4,1
"Vermeulen, Kathryn",3,2
"DiGiacomo-Zahller, Emma",2,2
"Weber, Sophie",2,-
"Kohler, Lane",2,1
"DiCarlo, Sofia",1,-
