0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Ian Strawn,4,346,82,-,3,-,-,-,+16,86.5,2,172,86.0
Sam Naik,4,350,84,-,3,-,-,1,+17,87.5,13,1102,84.8
Brody Barton,4,358,86,-,3,-,-,1,+19,89.5,4.5,436,96.9
James Lim,4,378,92,-,3,-,-,-,+24,94.5,14.5,1389,95.8
Jake Heinrich,4,427,99,-,3,-,-,-,+36,106.8,2,205,102.5
Alexander Love,-,-,-,-,-,-,-,-,-,-,-,-,-
Lukas Roscoe,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,4,1432,349,-,3,-,-,2,+74,358.0,,,
