School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Knox*^,15-1,.938,22-6,.786,L1,9-2,12-4,1-0
Ripon*^,15-1,.938,20-7,.741,L1,9-4,10-3,1-0
Cornell College*,9-7,.562,10-14,.417,L2,6-5,4-8,0-1
Illinois Col.*,8-8,.500,11-15,.423,L1,7-5,4-10,0-0
Grinnell,7-9,.438,10-13,.435,W2,7-5,3-8,0-0
Monmouth (IL),6-10,.375,10-15,.400,L3,7-5,3-10,0-0
Lake Forest,5-11,.312,9-15,.375,L2,4-8,3-7,2-0
Beloit,4-12,.250,8-16,.333,W1,3-9,5-7,0-0
Lawrence,3-13,.188,7-18,.280,L5,2-8,4-9,1-1
