School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon#*,16-2,.889,19-9,.679,L1,12-1,7-7,0-1
Monmouth (IL)*,13-5,.722,19-8,.704,L1,11-1,5-7,3-0
Lake Forest*,12-6,.667,13-13,.500,L1,8-3,5-6,0-4
St. Norbert College*,10-8,.556,11-15,.423,L2,7-5,4-8,0-2
Knox,10-8,.556,13-12,.520,L1,9-3,4-9,0-0
Cornell College,7-11,.389,7-16,.304,L1,3-11,4-5,0-0
Beloit,7-11,.389,8-17,.320,W4,5-5,3-9,0-3
Grinnell,6-12,.333,8-16,.333,L3,5-9,3-7,0-0
Illinois Col.,6-12,.333,10-15,.400,W1,8-4,2-10,0-1
Lawrence,3-15,.167,6-18,.250,L2,4-8,2-10,0-0
