School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College*,17-1,.944,20-5,.800,L1,12-3,8-2,0-0
St. Norbert College*,15-3,.833,20-6,.769,L1,8-1,9-5,3-0
Ripon*,15-3,.833,17-7,.708,L1,7-2,9-3,1-2
Grinnell*,12-6,.667,14-10,.583,L1,8-4,6-6,0-0
Knox,10-8,.556,13-10,.565,L2,6-5,7-5,0-0
Illinois Col.,8-10,.444,11-12,.478,L3,5-5,4-6,2-1
Lake Forest,5-13,.278,6-17,.261,W1,3-7,3-8,0-2
Beloit,4-14,.222,6-17,.261,L4,3-9,3-8,0-0
Monmouth (IL),4-14,.222,4-19,.174,L1,2-8,2-11,0-0
Lawrence,0-18,.000,2-21,.087,L21,1-9,1-10,0-2
