School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon,0-0,.000,3-0,1.000,W3,1-0,2-0,0-0
Illinois Col.,0-0,.000,6-5,.545,L1,3-2,3-3,0-0
Cornell College,0-0,.000,2-2,.500,L2,1-2,1-0,0-0
Knox,0-0,.000,1-1,.500,W1,1-0,0-1,0-0
Lake Forest,0-0,.000,1-7,.125,L5,1-4,0-3,0-0
Lawrence,0-0,.000,0-0,.000,,0-0,0-0,0-0
