School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon*,11-1,.917,17-4,.810,W8,7-0,7-3,3-1
Lawrence,10-3,.769,16-6,.727,L1,9-3,6-2,1-1
Grinnell,9-4,.692,15-7,.682,W4,11-2,4-5,0-0
Cornell College,8-4,.667,12-8,.600,W1,6-5,6-3,0-0
Knox,7-5,.583,12-9,.571,L2,8-3,4-5,0-1
Illinois Col.,6-7,.462,9-13,.409,W2,6-3,2-7,1-3
Monmouth (IL),2-10,.167,5-16,.238,L2,4-5,1-11,0-0
Lake Forest,2-10,.167,4-17,.190,L1,1-6,2-9,1-2
Beloit,1-12,.077,2-20,.091,L7,1-11,1-9,0-0
