School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon*^,14-2,.875,19-9,.679,L1,10-3,9-4,0-2
Knox*,10-6,.625,19-8,.704,L1,8-4,8-4,3-0
Illinois Col.*,10-6,.625,15-11,.577,L1,7-4,7-6,1-1
Lawrence*,9-7,.562,15-11,.577,L1,9-4,6-7,0-0
Grinnell,9-7,.562,14-10,.583,W1,8-4,5-5,1-1
Beloit,8-8,.500,11-14,.440,L1,8-4,3-10,0-0
Cornell College,7-9,.438,9-16,.360,L1,5-7,4-9,0-0
Lake Forest,5-11,.312,7-17,.292,W1,5-6,1-10,1-1
Monmouth (IL),0-16,.000,2-23,.080,L13,0-12,2-10,0-1
