School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Ripon*#,15-1,.938,18-9,.667,W10,10-2,7-5,1-2
Monmouth (IL)*,10-6,.625,14-10,.583,L1,8-3,5-7,1-0
Knox*,10-6,.625,12-13,.480,L2,7-6,5-6,0-1
Illinois Col.*,9-6,.600,10-11,.476,L1,4-5,5-5,1-1
Cornell College,7-7,.500,12-9,.571,L1,7-5,5-4,0-0
Lawrence,7-7,.500,10-12,.455,W1,7-5,3-7,0-0
Grinnell,6-9,.400,9-13,.409,L1,5-8,4-5,0-0
Lake Forest,5-11,.312,8-16,.333,W1,3-6,4-9,1-1
Beloit,0-16,.000,4-20,.167,L12,2-9,2-10,0-1
