School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College,14-2,.875,20-6,.769,L1,8-3,8-3,4-0
Ripon,14-2,.875,17-8,.680,L1,9-4,7-4,1-0
Knox,11-5,.688,16-9,.640,L2,10-2,6-6,0-1
Lake Forest,9-7,.562,13-14,.481,L1,7-4,5-7,1-3
Monmouth (IL),6-10,.375,9-16,.360,L1,7-7,2-9,0-0
Illinois Col.,6-10,.375,8-16,.333,W1,4-6,4-8,0-2
Lawrence,6-10,.375,7-18,.280,L4,5-6,2-10,0-2
Grinnell,4-12,.250,7-15,.318,L9,7-6,0-9,0-0
Beloit,2-14,.125,4-20,.167,L2,4-9,0-11,0-0
St. Norbert College,0-0,.000,10-5,.667,W3,4-3,5-2,1-0
