Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Novelle, Jack",FR-1,1.88m,"6' 2""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Novelle, Jack",FR-1,1.85m,"6' 0.75""",Grinnell Opener,"Dec 9, 2022"
,"Novelle, Jack",FR-1,1.85m,"6' 0.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Novelle, Jack",FR-1,1.83m,"6' 0""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Novelle, Jack",FR-1,1.83m,"6' 0""",Darren Young Classic,"Feb 11, 2023"
,"Novelle, Jack",FR-1,1.80m,"5' 10.75""",Hilltop Invitational,"Jan 21, 2023"
,"Novelle, Jack",FR-1,1.80m,"5' 10.75""",Grinnell Opener,"Dec 9, 2022"
,"Novelle, Jack",FR-1,1.80m,"5' 10.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Novelle, Jack",FR-1,1.78m,"5' 10""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Novelle, Jack",FR-1,1.78m,"5' 10""",Darren Young Classic,"Feb 11, 2023"
,"Novelle, Jack",FR-1,1.75m,"5' 8.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Novelle, Jack",FR-1,1.75m,"5' 8.75""",Hilltop Invitational,"Jan 21, 2023"
,"Novelle, Jack",FR-1,1.75m,"5' 8.75""",Grinnell Opener,"Dec 9, 2022"
,"Novelle, Jack",FR-1,1.73m,"5' 8""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Novelle, Jack",FR-1,1.73m,"5' 8""",Darren Young Classic,"Feb 11, 2023"
,"Novelle, Jack",FR-1,1.71m,"5' 7.25""",Grinnell Invitational,"Jan 28, 2023"
,"Novelle, Jack",FR-1,1.70m,"5' 7""",Grinnell Opener,"Dec 9, 2022"
,"Novelle, Jack",FR-1,1.70m,"5' 7""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Novelle, Jack",FR-1,1.70m,"5' 7""",Hilltop Invitational,"Jan 21, 2023"
