Unnamed: 0,Time,Athletes,Meet,Meet Date
,1:34.43,"Hiser, Fadden, Walcher, Fuller",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,1:35.03,"Hiser, Fadden, Walcher, Fuller",Grinnell Invitational,"Jan 28, 2023"
,1:35.65,"Hiser, Fuller, Walcher, Fadden",Hilltop Invitational,"Jan 21, 2023"
,1:38.00,"James, Mendola, Milenge, Fitzgerald",Darren Young Classic,"Feb 11, 2023"
