0,1,2,3,4,5,6
Grinnell College,,,,,,
Evan Bunis,74.0,74.0,78.0,226.0,10.0,t-3rd
John Zbaracki,103.0,105.0,103.0,311.0,95.0,31st
Owen Craven,111.0,112.0,101.0,324.0,108.0,32nd
