0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,Rel.,,Career,Career,Career
Player,Rounds,Strokes,Round,Rounds,Events,1,5,10,To Par,Average,Rounds,Strokes,Average
Ian Luby,10.5,856,74,-,6,-,1,1,+10,81.5,-,-,-
Jon Cohen,10.5,883,76,-,6,-,2,2,+12,84.1,-,-,-
Chris Marsho,10.5,905,79,-,6,-,-,1,+14,86.2,-,-,-
Rockne Decoster,10.5,916,81,-,6,-,-,1,+15,87.2,-,-,-
Travis Palmer,10.5,953,83,-,6,-,-,1,+19,90.8,-,-,-
Max Herzberg,8.5,816,90,-,5,-,-,1,+24,96.0,-,-,-
Jacob Kljaich,3,291,95,-,2,-,-,-,+26,97.0,-,-,-
Jack Adams,-,-,-,-,-,-,-,-,-,-,-,-,-
FOUR-PLAYER TEAM,10.5,3544,321,-,6,-,3,7,+50,337.5,,,
