0,1,2,3,4,5,6
Grinnell College,296,288,289,873,+9,1st
Meilin Hoshino,74,66,73,213,-3,1st
Vidushi Keni,70,75,71,216,E,2nd
Kavya Keshav,74,70,75,219,+3,3rd
Mary Li#,77,73,74,224,+8,4th
Amy Nguyen,78,77,70,225,+9,5th
Saya Geisendorfer#,78,78,78,234,+18,8th
Emily Lackershire,80,78,77,235,+19,9th
Waverly Yang#,83,76,79,238,+22,10th
Sara Meneses#,86,83,82,251,+35,t-20th
